matcher,context_scenario,armed_with,threat_type,flee_status,body_camera,closest_cluster,first_distance,second_distance,first_vs_second_margin,distance_cluster_0,distance_cluster_1,distance_cluster_2,distance_cluster_3
Original four-input matcher,Neutral reference,Gun,Shoot,Not Fleeing,False,1,2.053634454585198,2.066675765864446,0.013041311279248013,2.3606206233232254,2.053634454585198,2.5832420988777365,2.066675765864446
Original four-input matcher,Neutral reference,Gun,Shoot,Not Fleeing,True,3,2.1987790846305653,2.244477538569709,0.045698453939143846,2.4811947113464035,2.244477538569709,2.706660115237947,2.1987790846305653
Original four-input matcher,Neutral reference,Gun,Shoot,Vehicle,False,1,2.1357642531312915,2.144852595971089,0.009088342839797647,2.438483260827288,2.1357642531312915,2.646026422385415,2.144852595971089
Original four-input matcher,Neutral reference,Gun,Shoot,Vehicle,True,3,2.2724157630683153,2.319860748630822,0.04744498556250676,2.5553860924896092,2.319860748630822,2.766645092158986,2.2724157630683153
Original four-input matcher,Neutral reference,Gun,Threat,Foot,False,3,2.1598975161827783,2.173073396232109,0.01317588004933068,2.459674385297638,2.173073396232109,2.6493130058092595,2.1598975161827783
Original four-input matcher,Neutral reference,Gun,Threat,Foot,True,3,2.2866215301640906,2.354254220235412,0.06763269007132156,2.5756155672079135,2.354254220235412,2.7697885552431143,2.2866215301640906
Original four-input matcher,Neutral reference,Gun,Threat,Missing,False,3,2.14711273257926,2.1639925625309417,0.016879829951681913,2.4684075952672115,2.1639925625309417,2.656228156591871,2.14711273257926
Original four-input matcher,Neutral reference,Gun,Threat,Missing,True,3,2.274549148337184,2.345874838684649,0.07132569034746528,2.583956951020525,2.345874838684649,2.776403655428564,2.274549148337184
Original four-input matcher,Neutral reference,Gun,Threat,Not Fleeing,False,3,2.064603962039734,2.06857366337469,0.0039697013349559995,2.3794208646873645,2.06857366337469,2.576678739309564,2.064603962039734
Original four-input matcher,Neutral reference,Gun,Threat,Not Fleeing,True,3,2.1968318692762083,2.258154544952998,0.06132267567678973,2.4990880576050127,2.258154544952998,2.7003967418910073,2.1968318692762083
Original four-input matcher,Neutral reference,Gun,Threat,Vehicle,False,3,2.1428563781323966,2.150132896520912,0.007276518388515285,2.4566877167001744,2.150132896520912,2.6396191793812664,2.1428563781323966
Original four-input matcher,Neutral reference,Gun,Threat,Vehicle,True,3,2.27053169964661,2.3330958876106873,0.06256418796407726,2.572763495881412,2.3330958876106873,2.7605178228301797,2.27053169964661
Original four-input matcher,Neutral reference,Gun,Unclear Threat,Foot,False,3,2.2079726028819513,2.2121008400339046,0.004128237151953318,2.49736531663417,2.2121008400339046,2.6912365263141758,2.2079726028819513
Original four-input matcher,Neutral reference,Gun,Unclear Threat,Foot,True,3,2.3320857095901797,2.390325307267444,0.0582395976772645,2.6116337785152264,2.390325307267444,2.809915172842987,2.3320857095901797
